id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred_a,pred_m
P168911,2019,0.09,0.07,0.01,"Improving Inclusion in Secondary and Higher Education The objectives of the Operation are to (i) reduce dropout rates in basic and higher education among the most vulnerable; and (ii) strengthen the Borrower’s education evaluation systems. The development objectives of the Improving Inclusion in Secondary and Higher Education Project for Argentina are to: (i) reduce dropout rates in basic and higher education among the most vulnerable; and (ii) strengthen the Borrower’s education evaluation systems. The Government of Argentina (GoA) has a comprehensive strategy to tackle exclusion and dropout, especially for the most vulnerable students, and to improve their learning trajectories. The strategy is multidimensional and includes financial aid throughout primary and higher education (universal child allowance (AUH) and PROGRESAR scholarships), programs to improve the marginal benefit of staying in school, an early dropout prevention program (ASISTIRE), and programs to support vulnerable students in their transition to higher education. Within this strategy, the PROGRESAR scholarships and the national education evaluation system reflect the GoA’s efforts to institutionalize and strengthen service delivery capacity and effective policy-making in the education system - two critical institutional bottlenecks. This operation will provide financial and technical assistance to strengthen the policy implementation capacities of the GoA. Support will be focused on the following programs: PROGRESAR scholarships, the education evaluation system, and ASISTIRE. Sustaining these three programs and improving their implementation will be central to support the most vulnerable in their education progression and graduation and will support the GoA’s efforts to strengthen the education system’s capacity and accountability.",0.010339971,-0.027465338
P171851,2020,0.17,0.0,0.17,"North Macedonia Public Finance and Competitiveness DPL The proposed DPL supports reforms to strengthen public finances, improve market competition, and reduce the regulatory burden in North Macedonia. The Public Finance and Competitiveness Development Policy Loan (DPL) supports North Macedonia’s efforts to strengthen the sustainability of public finances, improve market competition, and reduce the regulatory burden on businesses. After a period of political stalemate, the government in office since May 2017 embarked on an ambitious reform program to safeguard macroeconomic stability, improve citizens well-being, strengthen competitiveness, and pursue the country’s aspirations for European and international integration. The government’s Economic Reform Program (ERP) 2019-21 aims to strengthen revenues, improve public financial management, increase market competition, make the environment for doing business more attractive, and strengthen labor market and social protection. The DPL supports reforms that aim to safeguard fiscal sustainability, improve market competition, and lower the regulatory burden on businesses in the context of renewed impetus for European and global integration. This operation has been closely coordinated with international partners (including the International Monetary Fund (IMF), the European Commission (EC), United States Agency for International Development (USAID), and other bilateral partners) to ensure that policy support and technical assistance are complementary. The DPL objectives are aligned with the World Bank Group Country Partnership Framework (CPF) FY19-FY23.",-0.02983468,0.049702626
P151169,2019,0.15,0.12,0.04,"Supporting the economic inclusion of youth The project development objective is to increase access to economic opportunities for youth in the project area. The development objective of the Supporting the Economic Inclusion of Youth Project for Morocco is to increase access to economic opportunities for youth in the project area. There are three components to the project.First component, Promoting youth employability and economic inclusion is to provide individual support to sub-groups of youth to improve their access to economic opportunities through the set-up of outreach, information, profiling and orientation services (through on-the-job training and skills development, referral to entrepreneurship support activities and job opportunities, and intermediation services provided by the project and complementary programs available in the territory of project activities). The activities are also expected to improve individual social skills and promote positive social outcomes. This component includes two sub-components: (i) the set-up of the Youth Employment Centers (EEJs), an information, orientation and referral system for young people, allowing them to improve their employability through better skills, knowledge of opportunities, and access to labor market intermediation services and other existing programs; and (ii) skills development support that focuses on the needs of the labor market at the provincial and regional level, primarily to benefit low skilled youth, including specific segments of the youth population such as rural women, with a strong emphasis on job placement and economic inclusion (aiming to improve the employability of young people, strengthen the support system for economic inclusion of direct beneficiaries, and set up a more dynamic, effective, efficient and relevant skills development approach in line with labor market demand and emerging economic sectors such as adaptive and clean smart technologies); Second component, Fostering the entrepreneurial ecosystem and supporting entrepreneurship opportunities for youth aims to develop the regional entrepreneurial ecosystem, increase entrepreneurship support for youth, particularly those targeted under component 1, and enable job creation in selected high potential value chains in the region of Marrakech-Safi. This will be achieved through three sub-components, setting up: (i) a network of Regional/Provincial Entrepreneurship and Economic Development Centers (REEDC/PEEDC), a go-to place for aspiring entrepreneurs and established MSMEs, offering a range of support services, (ii) an entrepreneurship program to support new firms created by youth, offering financial and capacity support for aspiring entrepreneurs and newly established businesses, and (iii) a value chains development program, providing capacity building and support to existing MSMEs and cooperatives active in selected value chains with a high potential for job creation; Third component, institutional capacity building for project implementation support aims to: (i) strengthen the capacity of actors (MTIP and the other project implementing agencies) to manage, coordinate and oversee the execution of project activities and achieve the gender specific targets under each component; (ii) provide capacity building to MTIP and the other project implementing agencies in the intervention areas related to the project; (iii) strengthen the region's capacity and programs pertaining to youth inclusion, particularly of young women, skills training and territorial development; and (iii) put in place the mechanisms and regional policies to collect information on the regional labor market.",0.039434135,0.023926029
P161590,2018,0.0,0.0,0.0,"Support to Enterprise Development and Competitiveness  Project The objective of the Project is to foster MSME competitiveness in the targeted sectors and targeted geographic areas of the Republic of Congo's territory. The objective of the Support to Enterprise Development and Competitiveness Project is to foster MSME competitiveness in the targeted sectors and targeted geographic areas of the Republic of Congo's territory. There are three components to the project, the first component being regulatory and institutional support to strengthen the enabling environment for private sector development. The objective of this component is to promote investments particularly in the priority sectors targeted by the project (agriculture and agribusiness, tourism, transport and information and communication technology) and to strengthen the enabling environment for private sector development - accelerating the adoption of reforms launched under the PADE project (through stronger stakeholder coordination and high-level engagement). The component is divided into three sub-components, as follows: investment climate reform and public private dialogue, targeted promotion of domestic and foreign trade investments, and transport sector and industrial infrastructure management and development. The second component is the direct support to MSMEs to enhance the development and competitiveness of selected value chains. The objective of this component is: (i) to empower the poor and reduce poverty by promoting entrepreneurship; and (ii) to sustain inclusive growth by enhancing the development and competitiveness of value chains in priority sectors identified by the National Development Plan (agriculture and agri-business, Transport/ICT, and Tourism). Weak entrepreneurial activity and support systems for MSME are identified as a significant challenge preventing their growth, development and competitiveness. This component includes two subcomponents: entrepreneurship promotion and development, and support and development grants. Finally, the third component is the project implementation and coordination. This component will support the operating costs of the project’s institutional and governance arrangements. These include facilitating the activities of the project steering committee, setting up and managing a dedicated project management unit (with key staff including a coordinator, a fiduciary team, technical experts on investment climate and private sector development, environmental and social safeguards, monitoring & evaluation, and communication), facilitating stakeholder outreach and communication, and undertaking project evaluation and monitoring.",0.0052876384,-0.0037033395
P169930,2021,0.99,0.99,0.0,"Cambodia Road Connectivity Improvement The project development objective is to improve climate resilient road access to economic and human development facilities in targeted provinces and, in case of an Eligible Crisis or Emergency, respond promptly and effectively to it. The objective of the Road Connectivity Improvement Project for Cambodia is to improve climate resilient road access to economic and human development facilities in targeted provinces. The Project has four components. 1. National and Provincial Roads Improvement component will be implemented by Ministry of Public Works and Transport (MPWT) and includes the following subcomponents: 1.1. Improvement and Maintenance of National and Provincial Roads subcomponent will finance improvement and maintenance of the following road sections: NR73, PR 377, PR377A, and NR7 section of km 300–331. 1.2. Design and Supervision Services for the National and Provincial Roads subcomponent will finance costs of supervision and design activities of the MPWT project roads. 2. Rural Roads Improvement component will be implemented by Ministry of Rural Development (MRD) and includes the following subcomponents: 2.1. Improvement and Maintenance of Rural Roads subcomponent will support improvement and maintenance of prioritized rural roads with climate resilience measures. 2.2. Design and Supervision Services for the Rural Roads subcomponent will finance costs of supervision and design activities of the MRD project roads. 3. Institutional Development and Project Management component will provide support to MPWT and MRD on institutional development and project management. It will include the following subcomponents: 3.1. Institutional Development and Project Management Support to MPWT subcomponent will be managed by MPWT and will support implementation of the following project activities: (a) upgrade of the road crash database system; (b) road safety awareness activities and road safety assessment of MPWT project roads; and (c) providing technical assistance for implementation of road side preservation activities. 3.2. Institutional Development and Project Management Support to MRD subcomponent will be managed by MRD and will support implementation of the following project activities: (a) preparation of the Rural Roads Accessibility Financing Strategy and support for the operationalization of the Rural Roads Asset Management System; (b) road safety awareness activities and road safety assessment of MRD project roads; (c) study on transportation services in rural areas; and (d) providing technical assistance for implementation of road side preservation activities. 4. Contingent Emergency Response component is designed to provide swift response in the event of an eligible crisis or emergency, by enabling the Royal Government of Cambodia (RGC) to request the World Bank to reallocate project funds to support emergency response and reconstruction.",0.4882873,-0.010828051
P179292,2023,0.63,0.56,0.06,"Kananga Emergency Urban Resilience Project The objectives of the Project are to safeguard houses and critical infrastructure affected by gully erosion in Kananga and strengthen the capacity of the Recipient's Government and local organizations in erosion management and climate resilient urban planning.
 The development objectives of the Kananga Emergency Urban Resilience Project for Democratic Republic of Congo are to safeguard houses and critical infrastructure affected by gully erosion in Kananga and strengthen the capacity of the recipient’s government and local organizations in erosion management and climate resilient urban planning. The project comprises of four components. The first component, emergency response interventions will include: (a) managing runoff and improving drainage, including nature-based solutions (to divert flow or increase infiltration rates by using trees and deep-rooted perennial pastures); (b) gully wall stabilization to stop further erosion and prevent landslides (that is, reshaping or re-profiling of canals using geotextiles, rock barrages, sandbags, and or wire netting); and (c) activities associated with restricting access and protecting intervened areas, community monitoring, and preventing dumping of waste in gully areas. The second component, integrated resilient urban development is designed to address the underlying causes of gully erosion, landslides, and floods by supporting an integrated, holistic, and resilient approach to urban development in Kananga. It consists of following sub-components: (i) urban management and institutional strengthening; and (ii) resilient infrastructure and services affected by gully erosion. The third component, project management and implementation support will finance incremental cost related to project management and implementation. The fourth component, contingent emergency response (CERC) will provide immediate response to an eligible crisis or emergency, as needed.",0.5183077,0.2065428
P164262,2018,0.16,0.07,0.09,"Senegal Rural Water Supply and Sanitation Project The project's development objective is to increase access to improved water and sanitation services in selected rural areas and strengthen capacity for water resources management. The development objective of Rural Water Supply and Sanitation Project  for Senegal is to increase access to improved water and sanitation services in selected rural areas and strengthen capacity for water resources management. This project has four components. 1) The first component, Rural Water Supply, aims to improve water services and expand access through the following sub-components: (i) Upgrading of piped water systems to increase water availability and quality, in selected areas; and (ii) Development of access to water in selected areas. 2) The second component, Sanitation, aims to increase access to improved sanitation and ensure adequate disposal of wastewater and sludge through the following sub-components: (i) Development of access to improved sanitation in selected rural areas; (ii) Development of access to condominial sewerage services and provision of adequate wastewater and sludge disposal in Gandiaye;  (iii) Development of access to sewerage services and provision of adequate wastewater and sludge disposal in selected small towns; (iv) Implementation of a pilot program of the marketing approach to sanitation; and (v) Support to the Recipient. 3) The third component, Water Resources Management, aims to improve the knowledge and planning of the development of water resources through the following sub-components: (i) Strengthening the Recipient’s capacity to assess and monitor water resources; and (ii) Supporting the Recipient’s capacity in planning the development of water resources. 4) The fourth component, Program Coordination, Institutional Support and Capacity Building, aims to support sector institutions and reforms, and to enable the Project Coordination Unit (PCU) to deliver its responsibilities through the following sub-components: (i) Support to the Recipient in the areas of project coordination, supervision, financial management (FM), communication and outreach, procurement, monitoring and evaluation (M and E), supervision of implementation of the Safeguards Instruments; (ii) Support to the Recipient and sector institution; and (iii) Support to Ministry of Water and Sanitation (MHA) and the Specialized Implementation Agencies (SIAs) by financing expenses related to Training and Operating Costs for the implementation of Project activities.",0.20830914,0.15359676
P165683,2019,0.57,0.37,0.2,"Paraiba Improving Water Resources Management and Services Provision To (i) strengthen capacity for integrated water resources management in the State; (ii) improve reliability  of water services in the Agreste and Borborema regions; and (iii) improve the operational efficiency of water and wastewater services in the Joao Pessoa Metropolitan Region. The objectives of the Paraiba Improving Water Resources Management and Services Provision Project are to: (i) strengthen capacity for integrated water resources management in the State; (ii) improve reliability of water services in the Agreste and Borborema regions; and (iii) improve the operational efficiency of water and wastewater services in the Joao Pessoa Metropolitan Region. There are three components to the project, the first component being integrated water resources management. This component will support strengthening the institutional capacity for water resources management and meteorological and hydrological monitoring and forecasting and increasing the resilience of water supply systems to climate-related events. The component includes the following subcomponents: improving water management, project management and institutional Development. The second component is the improved water and sanitation services reliability and efficiency. This component will help increase the reliability of water supply and the resilience of services to extreme drought events in water scarce regions. The component will reduce the contamination of scarce water resources in the JPMR by improving sanitation systems. The component will also invest in improving the operational efficiency of CAGEPA. The component includes the following subcomponents: water infrastructure in the Agreste and Borborema Regions, and water and Sanitation in João Pessoa Metropolitan Region. Finally, the third component is the contingent emergency response (zero budget). This zero-cost Contingency Emergency Response Component (CERC) will be available to support rapid response activities following a formal declaration of an eligible crisis or emergency. Loan proceeds can be reallocated from other components to eligible activities, such as emergency rehabilitation works, provision of critical equipment, or any other critical inputs to ensure the continued operation of water and sanitation infrastructure and services. Streamlined procurement and disbursement procedures will be used to expedite disbursements. The CERC section of the project operational manual provides more specific guidelines.",0.38296223,0.11909567
P174266,2021,0.05,0.0,0.04,"Togo Essential Quality Health Services For Universal Health Coverage Project To improve the provision of essential health and nutrition services and quality of care for pregnant women, children and vulnerable populations The development objective of the Essential Quality Health Services for Universal Health Coverage Project for Togo is to improve the provision of essential health and nutrition services and quality of care for pregnant women, children and vulnerable populations. The project comprises of five components. The first component, increasing demand and supply of quality health and nutrition services focuses on providing opportunities for government to deliver services and improve access to the most vulnerable populations. It consists of following sub-components: (i) increasing access to essential health and nutrition services; (ii) increasing membership of the poor and vulnerable in health insurance; (iii) improving equitable distribution of health professionals; and (iv) increasing tracer drug availability at peripheral health unit (PHU) facilities. The second component is bringing health facilities and services close to households. It consists of following sub-components: (i) increasing access of vulnerable populations to health facilities and services; and (ii) providing equipment to the newly built health facilities. The third component is strengthening the national social health insurance scheme. It consists of following sub-components: (i) establishing and supporting the operations of the Togo Social Health Insurance Agency (TSHIA); and (ii) promoting demand for health insurance services. The fourth component is improving stewardship, oversight, and management. It consists of following sub-components: (i) assuring the social, environmental safeguards of the project; and (ii) providing project management and coordination. The fifth component, contingent emergency response component (CERC) will allow the government to request the World Bank for rapid reallocation of project funds and respond promptly and effectively to an eligible emergency or crisis that is a natural or man-made disaster or crisis that has caused, or is likely to imminently cause, a major adverse economic and or social impact.",0.09410749,0.03129905
P171160,2020,0.0,0.0,0.0,"Somali Integrated Statistics and Economic Planning Capacity Building Strengthen the national statistical system in the collection, processing and dissemination of poverty and selected macro-economic data to inform development policy and poverty reduction activities. The objective of the Somali Integrated Statistics and Economic Planning Capacity Building Project for Somalia is to strengthen the national statistical system in the collection, processing and dissemination of poverty and selected macro-economic data to inform development policy and poverty reduction activities. The Project has four components. 1. Strengthening coordination, statistical infrastructure and data development of the national statistical system component will provide support to the client’s key official statistics producing agencies in strengthening the capacity of the country’s National statistical system (NSS) to collect data for poverty and macroeconomic monitoring. 1.1. Supporting the Development and Coordination of the NSS subcomponent will support the strengthening of the recipient’s legal and organizational framework for the NSS as well as statistical infrastructure. 1.2. Somali Integrated Household Budget Survey subcomponent will support the design and implementation of the Somali Integrated Household Budget Survey (SIHBS) for monitoring welfare, providing macroeconomic baselines and establishing a baseline survey for a frequent data collection system. 1.3. Strengthening Sources of Business and Administrative Data needed for the Compilation of National Accounts and Key Social Statistics subcomponent will address key data gaps needed to produce quality national accounts statistics that meet the basics of the System of National Accounts 2008 (SNA2008) and other international statistical standards. 1.4. Strengthening Human Capacity in Poverty, Consumer Price Index (CPI) and National Accounts Statistics subcomponent will support the training of staff to compile poverty indicators and indexes as well as to draw poverty lines, using new data from the poverty survey and new CPI. 1.5. Development of a Compendium of Statistical Concepts and Definitions, Data Access and Information Dissemination Policy subcomponent will support improvement in data management and dissemination practices to strengthen statistical confidentiality and microdata sharing. 2. Information and Communications Technology (ICT) Development and Equipment of the National Statistical System component will provide supports the ICT infrastructure in the DNS and selected key federal level MDAs. It will provide computers, laptops and related IT networking equipment. 2.1. ICT Needs Assessment and ICT Strategy subcomponent will support an ICT needs assessment to identify the hardware/software needed to support the production and dissemination of the social and macroeconomics statistics needed for the compilation of national accounts, CPI and poverty indicators. 2.2. Statistical Software and Hardware subcomponent will finance the acquisition of information technology and communications infrastructure. 3. Data Utilization for Monitoring and Evaluation (M and E) and Planning component has two subcomponents. 3.1. Strengthening Monitoring and Evaluation Directorate (MED) Capacity subcomponent will strengthen the capacity of MED to monitor the implementation of public projects and programs of NDP9. 3.2 Supporting Economic Policy Analysis and Planning Capacity subcomponent will support the Federal Government of Somalia (FGS) authorities in developing economic policies, rebuilding institutions of economic management, and enhancing institutional capacity necessary for policy formulation and implementation. 4. Project Management component will provide support to the Recipient to strengthen its capacity for project planning and budgeting, management, coordination, monitoring and evaluation activities, all through the provision of technical advisory services, training, operating costs and the acquisition of goods.",0.08248449,0.0020933235
P166420,2020,0.16,0.05,0.11,"Urban Youth Employment Project II The development objective is to improve the capacity of participating young men and women in project areas to engage in productive income generating activities. The objective of the Second Urban Youth Employment Project for Papua New Guinea is to improve the capacity of participating young men and women in project areas to engage in productive income generating activities. The Project has four components. 1. Youth Job Corps component will raise the awareness of the project in targeted urban areas among youth in their communities, mobilize eligible youth, provide them with Basic Life Skills and Job Readiness Training (BLST) and place them in public works schemes. This component has four subcomponents. 1a: Communications and Mobilization subcomponent will support community awareness and mobilization campaigns, communications and related activities to identify eligible youth and inform them on the procedures and requirements for participation under the project.  1b: Basic Life‐Skills and Job Readiness Training subcomponent will provide Basic Life Skills and Job Readiness Training (BLST) to approximately 6,700 youth to increase their knowledge and preparedness for transitioning into the workplace both in the formal and informal economy.  1c: Urban Works and Services subcomponent will generate approximately 183,000 labor days for 6,100 participants, enabling youth to develop technical skills and apply the soft skills learned through public works for 30 paid days after they complete the BLST. 1d: Other Technical Assistance Activities subcomponent will finance a set of technical assistance activities, such as studies and diagnostics. 2. Skills Training component will provide a range of market‐oriented training programs for approximately 5,700 youth to improve their general and technical skills needed in the workplace. 2a: Internships subcomponent will provide an approximately 4,600 youth the opportunity to work with employers on a three‐month internship in entry level jobs. 2b: Vocational Training subcomponent will develop entry‐level competencies for approximately 1,100 youth in selected trades relevant to both the formal and informal sectors by providing existing short courses offered by accredited training providers or industry‐linked training providers for duration of three months. 3. Referral Services and Monitoring and Evaluation component will build on the systems and processes developed under UYEP I, aimed at screening and referring youth to other specialized organizations and delivering data and analysis to support project operations and inform policy development. 3a: Referral Services subcomponent will provide a set of job, training and microenterprise support services designed to screen and refer eligible youth to identify and access potential career pathways beyond the project. 3b: Surveys, Monitoring and Evaluation subcomponent will include a set of surveys designed to evaluate the achievement of project outcomes and impacts, including the value and effects of individual interventions. 4. Project management component will finance project management support, including safeguards oversight, communications and media, short‐term technical assistance, training, grievance management, financial management, procurement, project management and support staff, goods, and incremental operating costs. 4a: Program Coordination Office (PCO) and Project Management Unit (PMU) in National Capital District (NCD) implemented by National Capital District Commission (NCDC) subcomponent will provide technical and operational assistance, capacity building activities and training will be provided to support NCDC on project management, implementation, coordination, communications and media. 4b: PMU in Lae City implemented by Lae City Authority (LCA) subcomponent will provide technical and operational assistance, capacity building activities and training to support LCA on project management, implementation, coordination, communications and media.",0.09093407,0.12519373
P174002,2021,0.54,0.21,0.33,"Sustainable Rural Economy Program To improve the performance of targeted small agriculture producers and AgriMSMEs and improve natural resources management practices in selected project areas. The development objective of the Sustainable Rural Economy Program Project for Mozambique is to improve the incomes and resilience of beneficiaries and selected rural areas. The project comprises of four components. The first component, increasing productivity and market access will focus on supporting small agriculture producers and agri- micro, small, and medium enterprises (MSMEs) improve their performance, in particular for small producers to increase productivity and their access to input and output markets, and for AgriMSMEs to increase their sales. It consists of following sub-components: (i) agriculture productivity and market access; and (ii) fisheries productivity and market access. The second component, enhancing natural resources management consists of following sub-components: (i) enhanced land, forests, and conservation area management; and (ii) enhanced fisheries monitoring, control, and surveillance. The third component, strengthening institutions and policies consists of following sub-components: (i) policy and institutional support; and (ii) program management. The fourth component, contingent emergency response component (CERC) will finance the immediate response to crises or emergencies in the sectors covered by this program, which can result from events such as climatic shocks, extreme-weather events, plant and animal pests and disease outbreaks, pandemics, and economic and social disruptions.",0.315614,0.12896937
P153115,2018,0.12,0.0,0.12,"Hunan Integrated Management of Agricultural Land Pollution Project The project development objective is to demonstrate a risk-based integrated approach to managing heavy metal pollution in agricultural lands for safety of agricultural production areas in selected counties in Hunan. The development objective of Hunan Integrated Management of Agricultural Land Pollution Project is to demonstrate a risk-based integrated approach to managing heavy metal pollution in agricultural land for safety of agricultural production areas in selected counties in Hunan. This project has four components. 1) The first component, Demonstration of Risk-based Agricultural Land Pollution Management, aims to demonstrate the risk-based approach to reducing heavy metal levels, notably Cd, in crops and soil at demonstration areas. 2) The second component, Strengthening Agricultural Environmental Monitoring and Management, aims to improve AEM and management capacity to orderly, precisely, and sustainably manage agricultural land pollution in Hunan. The activities under this component include the following subcomponents: (i) Establishment of an AEM database for early warning; (ii) Development of a risk-based land management tool and crop/soil risk mapping; (iii) Local regulations and standards for risk-based integrated agricultural land pollution management; (iv) Studies on sustainable financing models and eco-compensation mechanisms for agricultural land management; and (v) Development of agricultural land management Action Plans. 3) The third component, Capacity Development and Knowledge Distribution, aims to: (i) develop management and technical capacity of government officials, environmental monitoring staff, and farmers, as well as heavy metal discharging enterprises for addressing agricultural land pollution; and (ii) disseminate knowledge gained from demonstrations for increasing awareness and building ability to make informed choices among alternatives. It includes the following five subcomponents: (i) Training for government officials; (ii) Training for environmental monitoring staff; (iii) Training for farmers; (iv) Technical assistance for heavy metal discharging enterprises; and (v) Knowledge Dissemination. 4) The fourth component, Project Management and Monitoring and Evaluation, aims to  support day-to-day project implementation, procurement, financial management (FM); environmental and social safeguards functions carried out by the provincial Project Management Office (PPMO) and the county-level Project Management Units (PMUs); and coordination and collaboration among the local government agencies, nongovernmental agencies, and the farmers’ professional organizations.",0.18821087,0.6577913
P179278,2024,0.03,0.03,0.0,"Strengthening South Sudan’s Financial Sector The objective of the project is to strengthen the institutional and supervisory capacity of the central bank and improve the efficiency of core financial sector infrastructure. The development objective of Strengthening South Sudan’s Financial Sector Project for South Sudan is to strengthen the institutional and supervisory capacity of the central bank and improve the efficiency of core financial sector infrastructure. This project has four components. 1) The first component, Formulating Financial Sector Policies, has the following sub-components: (i) Financial Sector Development Strategy and Roadmap; and (ii) Building the capacity of Bank of South Sudan (BoSS) staff to formulate and implement financial sector policies. 2) The second component, Institutional Strengthening of the Central Bank, has the following sub-components: (i) Enhancing the Supervisory and Regulatory Oversight of BoSS; and (ii) Supporting the Establishment of the South Sudan Institute of Banking and Finance (SSIBF). 3) The third component, Supporting the Development and Modernization of Key Infrastructure for the Financial Sector, has the following sub-components: (i) Upgrade and Customization of the Core Banking System; and (ii) Enhancing the Effectiveness of the Financial Intelligence Unit. 4) The fourth component, Project Management and Coordination, aims to provide additional capacity through hiring of a full-time project coordinator, a senior procurement specialist, a Financial Management (FM) specialist, and an environmental and social specialist.",0.07713783,-0.0029754485
P156239,2017,0.08,0.06,0.03,"CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project The objectives of the Project are to improve: (i) coverage and service quality of water supply and basic sanitation in urban areas in the Municipality of Tumaco and the Municipality of Guapi; and (ii) operational efficiency of the service providers in said municipalities. The objectives of the Plan PAZcifico : Water Supply and Basic Sanitation Infrastructure and Service Delivery Project for Colombia are to improve: (i) coverage and service quality of water supply and basic sanitation in urban areas in the Municipality of Tumaco and the Municipality of Guapi; and (ii) operational efficiency of the service providers in said municipalities. There are four components to the project, the first component being water supply and basic sanitation improvements in the Municipality of Guapi. Provision of goods, works, technical assistance and training to improve selected water supply and basic sanitation coverage and service quality investments in the Municipality of Guapi, including, inter alia, the following investments: construction of a new water-intake structure and raw water mains, optimization of the existing water treatment plant, and rehabilitation and construction of distribution water mains and networks. The second component is the water supply and basic sanitation improvements in the Municipality of Tumaco. Provision of goods, works, technical assistance and training to improve selected water supply and basic sanitation coverage and service quality investments in the Municipality of Tumaco, including, inter alia, the following investments: rehabilitation and/or construction of raw water mains, optimization of the existing water treatment plant, and rehabilitation and/or construction of distribution water mains and networks. The third component is the capacity building and institutional strengthening of service providers in the Municipalities of Guapi and Tumaco. Provision of goods, technical assistance and training for capacity building and institutional strengthening activities to support improved water and sanitation performance of service providers and to ensure efficient and sustainable services, including, inter alia, the following activities: provision of support to the Municipality of Guapi to develop a long-term service delivery model. Finally, the fourth component is the project management and environmental and social management. Provision of goods, technical assistance and training to the PIU for the implementation of the Project (including, inter alia, in the areas of financial management, procurement, disbursement, and safeguards management) and financing of operating costs.",0.14007467,0.14669855
P166220,2019,0.56,0.56,0.0,"Integrated Cash Transfer and Human Capital Project The Project Development Objectives are to support: i) an expanded and enhanced social safety nets system; ii) access to basic services in targeted poor communities, and iii) a rapid targeted food security safety net response to the COVID-19 pandemic.

Note: for the purpose of the PDO statement, 'enhanced' is taken to mean (i) improved targeting of program beneficiaries, (ii) an enlarged social registry, and (iii) effective accompanying measures in conjunction with conditional cash transfers. The development objective of Integrated Cash Transfer and Human Capital Project for Djibouti are to: (i) support an expanded and enhanced social safety nets system; and (ii) support access to basic services in targeted poor communities. This project consist of four components. 1) The first component, Conditional cash transfers, has the following subcomponents: (i) Financing of cash transfers; and (ii) Community-based accompanying measures to improve human capital. 2) The second component, Strengthening social protection delivery systems, aims to reinforce the government’s capacity by financing technical assistance and social protection system investments that will support achievement of the project objectives. 3) The third component, Community-based investments in basic services to improve human capital, aims to improve access to basic service infrastructure to strengthen or protect human capital in poor or isolated regions of the country, with priority to areas with refugees living in host communities that are not already covered by other refugee programs. 4) The fourth component, Project Management, aims to support activities related to project management and coordination through Secretariat of State Secretariat for Social Affairs (SEAS).",0.113250345,-0.013448719
P160245,2018,0.5,0.44,0.06,"Tunisia Irrigated Agriculture Intensification Project The Project Development Objectives (PDO) are to: (a) improve the reliability and efficiency of the irrigation and drainage services; and (b) improve availability of equipment and supplies for COVID-19 response. The development objectives of the Irrigated Agriculture Intensification Project for Tunisia are to improve the reliability and efficiency of the irrigation and drainage services and strengthen market linkages for irrigated products in selected irrigation schemes. The project comprises of four components. The first component is institutional modernization. It consists of following sub-components: (i) establishment of a new irrigation management entity; and (ii) irrigation efficiency improvement. The second component is rehabilitation and improvement works. It consists of following sub-components: (i) rehabilitation and improvement works; and (ii) common services and goods. The third component is support to agricultural development and market access. It consists of following sub-components: (i) strengthening the capacity of producers (and producer organizations) and linking them to the market; and (ii) boosting product marketing and developing competitive value chains. The fourth component; project management will cover: (i) the equipment cost for the unit; (ii) training of project management unit (UGO) staff; (iii) short term expertise; (iv) impact assessment studies; (v) training, communication, and expertise related to the implementation of the project’s environmental and social management framework (ESMF); and (vi) the incremental operating costs for the project at both central and regional levels.",0.4353665,0.16380544
P500777,2024,1.0,0.0,1.0,"Second Energy Efficiency in Public Buildings under the E3 MPA The Project Development Objectives are to enhance energy efficiency in existing central government buildings and strengthen the energy efficiency requirements for new and renovated public buildings The objective of the Scaling Up Energy Efficiency in Europe and Central Asia Program Using the Multiphase Programmatic Approach (MPA) Including Phase 1 Loans to Türkiye and Moldova is to increase energy efficiency savings in participating countries of the Europe and Central Asia (ECA) region and develop enabling policies and programs for the scale-up of energy efficiency. The E3 MPA has two components: component 1, financing the scale-up of EE investments and component 2, policy and regulatory reforms and other enabling activities. Investments under component 1 would result in projected lifetime energy savings and projected lifetime net GHG emissions (prDO-level indicator 2 and corporate scorecard indicator). Activities under component 2 will result in adoption/amendment of policies and regulations to scale up and sustain energy savings (PrDO-level indicator 3). These policy reforms would provide some energy savings during the E3 MPA’s implementation period and pave the way for scaled-up impacts in the years ahead. Moreover, enabling activities under component 2 will also help address many of the policy, financial, informational, and other barriers noted earlier; thus, the programmatic nature of the MPA will better enable the gradual and systematic scale-up of EE investments and private capital mobilized or enabled (PCM/PCE) over time. Energy savings would also enable reduced energy imports and fossil fuel use, reduced global and local emissions, increased economic productivity and jobs, contributing to low-carbon, resilient development.",-0.049158823,0.8163243
