iati_identifier,text,Climate change,Climate mitigation,Climate adaptation
44000-P173019,Bangladesh Road Safety Project The Project Development Objective is to build road safety management capacity and achieve targeted reduction in traffic fatalities and serious injuries in Bangladesh.,0.09,0.02,0.07
44000-P106161,"Bangladesh - Secondary Education Quality and Access Improvement The project development objectives are to improve the quality of secondary education, systematically monitor learning outcomes, and to increase access and equity in project upazilas.",0.0,0.0,0.0
44000-P178487,"Learning Acceleration in Secondary Education Operation The Program Development Objective (PDO) is to improve student learning and retention, and build system resilience in secondary education.",0.23,0.05,0.19
44000-P089382,Investment Promotion and Financing Facility To accelerate private sector-led growth through providing term finance for infrastructure development and promoting domestic infrastructure finance capacity.,0.0,0.0,0.0
44000-P132634,"Safety Net Systems for the Poorest The Project Development Objective is to improve the equity, efficiency, transparency and shock-responsiveness of major safety net programs to benefit the poorest and most vulnerable households.",0.0,0.0,0.0
44000-P129920,Bangladesh: Rural Electricity Transmission and Distribution Project The proposed Project development objectives are to reduce system losses and enhance capacity in the rural distribution network of primarily the eastern part of Bangladesh.,0.0,0.0,0.0
44000-P071794,Rural Electrification and Renewable Energy Development Increase access to electricity in rural areas of Bangladesh and help promote more efficient energy consumption.,0.29,0.29,0.0
44000-P090807,"Bangladesh - Skills and Training Enhancement Project The Project Development Objective  is to strengthen Training Institutions to improve
training quality and employability of trainees, including those from disadvantaged socioeconomic
backgrounds.",0.0,0.0,0.0
44000-P123828,Second Rural Transport Improvement Project The proposed Project Development Objective is: To improve rural accessibility in project areas (covering 26 districts) and strengthen institutional capacity for sustainable rural road maintenance.,0.0,0.0,0.0
44000-P171144,"Urban Health, Nutrition and Population Project To improve delivery of comprehensive primary healthcare services for selected urban areas.",0.23,0.14,0.1
44000-P161086,"BD: Enhancing Digital Government & Economy Project To improve the efficiency and cybersecurity of digital government, and increase digitally enabled employment and raise revenues of IT industry firms supported by the Project.",0.13,0.02,0.12
44000-P160758,Digitizing Implementation Monitoring and Public Procurement Project The project development objective is to improve public procurement performance and enhance capacity for implementation monitoring of development programs/projects.,0.0,0.0,0.0
44000-P156113,Export Competitiveness for Jobs The Project Development Objective (PDO) is to contribute to export diversification and more and better jobs in targeted sectors.,0.07,0.04,0.03
44000-P098151,Clean Air and Sustainable Environment Project To improve air quality and safe mobility in Dhaka through the implementation of demonstration initiatives in urban transport and brick making,0.0,0.0,0.0
44000-P156823,Bangladesh Insurance Sector Development Project The project development objective is to strengthen the institutional capacity of the regulator and state-owned insurance corporations and increase the coverage of insurance in Bangladesh.,0.0,0.0,0.0
44000-P102305,"Avian Influenza Preparedness and Response Project The overall objective of the Project is to minimize the threat posed by highly pathogenic avian influenza (HPAI) to humans in Bangladesh by controlling such infections in domestic poultry, and preparing for, controlling, and responding to possible human infections, especially an influenza epidemic and related emergencies. Though the objective is specific to HPAI, the interventions are expected to contribute to the control of other zoonotic diseases and other types of infectious diseases, in terms of building overall response capacity in the country.",0.0,0.0,0.0
44000-P165477,Dhaka City Neighborhood Upgrading Project To enhance public spaces and improve urban services in selected neighborhoods in Dhaka.,0.52,0.37,0.15
44000-P161928,"Operation for Supporting Rural Bridges (SupRB) The Program Development Objective is to improve and preserve rural bridges to support connectivity and climate resiliency, and strengthen institutional management",0.37,0.0,0.37
44000-P154580,"Bangladesh Regional Connectivity Project 1 The Project Development Objective is to improve conditions for trade through improving connectivity, reducing logistics bottlenecksand supporting the adoption of modern approaches to border management and trade facilitation.",0.0,0.0,0.0
44000-P149605,Nuton Jibon Livelihood Improvement Project The proposed Project Development Objective is to improve livelihoods of the poor and extreme poor in the project areas.,0.0,0.0,0.0
44000-P111272,Emergency 2007 Cyclone Recovery and Restoration Project The PDO is to support the Government of Bangladesh efforts to facilitate recovery from the damage to livelihoods and infrastructure caused by Cyclone Sidr and to build long-term preparedness through strengthened disaster risk reduction and management.,0.0,0.0,0.0
44000-P178996,Sustainable Microenterprise and Resilient Transformation (SMART) To increase resource-efficient and resilient green growth of microenterprises (MEs).,0.45,0.29,0.16
44000-P128276,"Coastal Embankment Improvement Project - Phase I (CEIP-I) The project development objectives are to (a) increase the area protected in selected polders from tidal flooding and frequent storm surges, which are expected to worsen due to climate change; (b) improve agricultural production by reducing saline water intrusionin selected polders; and (c) improve the Government of Bangladesh's capacity to respond promptly and effectively to an eligible crisis or emergency.",0.71,0.0,0.71
44000-P161227,"Bangladesh Municipal Water Supply and Sanitation Project The Project Development Objective (PDO) is to increase access to improved water supply and sanitation services in selected municipalities, and strengthen the municipalities institutional capacities for delivering water and sanitation services.",0.48,0.22,0.26
44000-P093988,BD Dhaka Water Supply and Sanitation Project The revised Project Development Objective is to improve stormwater drainage in select catchments in Dhaka and improve DWASA's planning activity.,0.0,0.0,0.0
44000-P095965,Siddhirganj Power Project Increase supply of electricity to Bangladesh grid network.,0.0,0.0,0.0
44000-P162619,Quality Learning for All Program The objective of the Program is to improve the quality of and enhance equitable access to education from pre-primary to grade 5.,0.14,0.06,0.08
44000-P167506,"Accelerating and Strengthening Skills for Economic Transformation The Project Development Objective is to equip Bangladeshi youth and workers, including women and the disadvantaged, with skills demanded for the future of work and improved employment prospects.",0.09,0.04,0.04
44000-P073886,"Empowerment and Livelihood Improvement ""Nuton Jibon"" Project The revised Project Development Objective is to improve the livelihoods of extreme poor households and to strengthen the community institutions in selected districts.",0.0,0.0,0.0
44000-P172817,Bangladesh Environmental Sustainability and Transformation Project To strengthen the capacity of the Government of Bangladesh in environmental management and to pilot new financing mechanisms to promote green investments in targeted sectors.,0.33,0.28,0.05
44000-P150220,"Bangladesh Weather and Climate Services Regional Project The Project Development Objective of this project is “to strengthen Government of Bangladesh's capacity to deliver reliable weather, water and climate information services and improve access to such services by priority sectors and communities.”",0.0,0.0,0.0
44000-P133653,"Municipal Governance and Services Project The project development objective is to improve municipal governance and basic urban services in participating Urban Local Bodies (ULBs), and to improve the Recipients capacity to respond promptly and effectively to an Eligible Crisis or Emergency.",0.0,0.0,0.0
44000-P173312,Resilient Infrastructure for Adaptation and Vulnerability Reduction To reduce the vulnerability of people in targeted communities to riverine and flash floods and improve the country's capacity in disaster preparedness and response.,0.98,0.13,0.86
44000-P106216,Bangladesh - Higher Education Quality Enhancement Project The main objective of the project is to improve the quality and relevance of the teaching and research environment in highereducation institutions through encouraging both innovation and accountability within universities and by enhancing the technicaland institutional capacity of the higher education sector.,0.0,0.0,0.0
44000-P062916,Bangladesh Central Bank Strengthening Project To achieve a strong and effective regulatory and supervisory system for Bangladesh's banking sector.,0.0,0.0,0.0
44000-P124514,"Bangladesh Local Governance Support Project II The project development objective is to strengthen Union Parishads (UPs) to become accountable and responsive, through an efficientand transparent intergovernmental fiscal transfer system to Union Parishads.",0.0,0.0,0.0
44000-P161246,"Livestock and Dairy Development Project The project development objective is to improve productivity, market access, and resilience of small-holder farmers and agro-entrepreneurs operating in selected livestock value chains in target areas.",0.6,0.34,0.26
44000-P176549,Accelerating Transport and Trade Connectivity in Eastern South Asia   Bangladesh Phase 1 Project The development objective is to increase the efficiency and resilience of trade and transport along selected corridors in Bangladesh,0.25,0.09,0.16
44000-P122201,"BD:  Leveraging ICT Growth, Employment and Governance Project The PDO is to (i) catalyze the growth of Bangladesh's IT/ITES industry for employment creation and export diversification; and(ii)establish basic e-Government foundations to support public sector modernization.",0.0,0.0,0.0
44000-P154511,Bangladesh Regional Waterway Transport Project 1 The development objective of the Project is to improve Inland Water Transport (IWT) efficiency and safety for passengers and cargo along the Chittagong-Dhaka-Ashuganj Regional Corridor and to enhance sector sustainability.,0.0,0.0,0.0
44000-P161996,Sustainable Forests & Livelihoods (SUFAL) Project To improve collaborative forest management and increase benefits for forest dependent communities in targeted sites.,0.99,0.61,0.38
44000-P086791,"Bangladesh - Reaching Out of School Children Project The key objective of the Project is to reduce the number of out-of-school children through improved access, quality and efficiency in primary education, especially for the disadvantaged children, in support of GOB's national EFA goal.",0.0,0.0,0.0
44000-P118701,"Bangladesh - Employment Generation Program for the Poorest To provide short-term employment on community sub-projects to enable households to better cope with vulnerability, while strengthening program implementation.",0.0,0.0,0.0
44000-P154577,College Education Development Project The project development objectives are to strengthen the strategic planning and management capacity of the college education subsector and to improve the teaching and learning environment of participating colleges.,0.0,0.0,0.0
44000-P160819,Cash Transfer Modernization Project The Project Development Objective is to improve the transparency and efficiency of selected cash transfer programs for vulnerable populations by modernizing service delivery.,0.25,0.0,0.25
44000-P130710,Low Income Community Housing Support Project <p>The Project Development Objective is to improve shelter and living conditions in selected low income and informal settlements in designated municipalities in Bangladesh</p>,0.0,0.0,0.0
44000-P146464,Multipurpose Disaster Shelter Project The development objective of this project is to reduce the vulnerability of the coastal population to natural disasters across selected coastal districts of Bangladesh.,0.0,0.0,0.0
44000-P120843,"BD Private Sector Development Facilitate private investment and job creation and promote compliance with international quality standards, building codes, and good social and environmental practices in economic zones supported by PSDSP.",0.0,0.0,0.0
44000-P174085,"Recovery and Advancement of Informal Sector Employment The objective is to provide services that can enhance earning opportunities for low-income urban youth, urban youth impacted by COVID-19, and returning migrants.",0.09,0.01,0.07
44000-P161432,Dhaka Sanitation Improvement Project The Project Development Objective (PDO) is to increase access to safely managed sanitation services in select areas of Dhaka City and to improve DWASA's efficiency in sanitation service delivery.,0.99,0.73,0.26
44000-P167190,Bangladesh Jobs Programmatic DPC The Bangladesh Jobs DPC supports the Government of Bangladesh's program of reforms to address the country's jobs challenges by: (i) modernizing the trade and investment environment; (ii) strengthening systems that protect workers and build resilience; and (iii) improving policies and programs that enhance access to jobs for vulnerable populations.,0.17,0.06,0.11
44000-P078707,"Power Sector Development Technical Assistance Project The project Development Objectives are to: a) Create effective capacity within the Government (Ministry of Power, Energy and Mineral Resources) to put in place power sector policies, industry structures, and a gas supply strategy needed for balanced development of Bangladesh's power sector; b) Create capacity within the Energy Regulatory Commission to regulate the sector effectively; and c)Prepare and secure financing for, at least two well-structured power sector investment projects that are then efficiently implemented.",0.0,0.0,0.0
44000-P169342,"BD Rural Water, Sanitation and Hygiene for Human Capital Development  Project To (i) improve access to ‘safely-managed’ water supply and sanitation in selected areas of rural Bangladesh; and (ii) strengthen sector institutional capacity for water and sanitation.",0.32,0.01,0.31
44000-P167762,Emergency Multi-Sector Rohingya Crisis Response Project To strengthen the Government of Bangladesh systems to improve access to basic services and build the disaster and social resilienceof the population of Cox's Bazar district.,0.61,0.08,0.53
44000-P175820,"Resilience, Entrepreneurship and Livelihood Improvement Project Improve livelihoods of the poor and extreme poor, enhance their resilience and support rural entrepreneurship in project areas",0.47,0.06,0.41
44000-P174650,"Electricity Distribution Modernization Program The PDO is to increase the delivery, reliability and efficiency of electricity supply  and strengthen institutional capacity and readiness for its sustainable transformation.",0.68,0.55,0.13
44000-P176374,"Program on Agricultural and Rural Transformation for Nutrition, Entrepreneurship, and Resilience in Bangladesh(PARTNER) The Program Development Objective (PDO) is to promote diversification, food safety, entrepreneurship, and climate resilience in the agri-food systems of Bangladesh.",0.56,0.29,0.26
44000-P159683,"Local Governance Support Project - 3 The project development objectives are to institutionalize the Union Parishad (UP) fiscal transfer system, and introduce a fiscal transfer system for Pourashavas on a pilot basis.",0.0,0.0,0.0
44000-P168961,"Higher Education Acceleration and Transformation Project The PDOs are: (i) to strengthen the COVID-19 response in higher education, improve connectivity and quality of higher education forwomen, and (ii) to enhance higher education's governance, resilience to emergencies, and graduate employability; and (iii) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",0.14,0.06,0.07
44000-P171648,Health and Gender Support Project for Cox s Bazar district Improve the access to and utilization of HNP and GBV response services among the host  and the displaced Rohingya population in Cox's Bazar district.,0.11,0.02,0.09
44000-P113435,"Bangladesh - Primary Education Development Program III Project Development objectives are to (i) increase participation and reduce social disparities in primary education, (ii) increase the number of children completing primary education and improve the quality of the learning environment and measurement of student learning, and (iii) improve effectiveness of resource use for primary education.",0.0,0.0,0.0
44000-P122269,BD Rural Water Supply and Sanitation Project The PDO is to increase the provision of safe water supply and hygienic sanitation in selected rural areas of Bangladesh.,0.0,0.0,0.0
44000-P159807,Power System Reliability and Efficiency Improvement Project Improve the reliability and efficiency of the power system in Bangladesh through optimization of dispatch operation.,0.0,0.0,0.0
44000-P167491,"Bangladesh Strengthening PFM Program to Enable Service Delivery The Program Development Objective (PDO) is to improve fiscal forecasting, budget preparation and execution, financial reporting and transparency to enable better resource availability for service delivery in selected Ministries, Departments, and Agencies.",0.06,0.05,0.01
44000-P176812,Bay Terminal Marine Infrastructure Development Project,0.0,0.0,0.0
44000-P149553,Bangladesh NATP-2: National Agricultural Technology Program - Phase II Project To increase  the agricultural productivity of smallholder farms and improve smallholder farmers' access to markets in selected districts.,0.0,0.0,0.0
44000-P169880,"Western Economic Corridor and Regional Enhancement Program To provide efficient, safe, and resilient connectivity along a Section of a regional transport corridor in western Bangladesh and reduce post-harvest losses in the hinterland of the Section",0.45,0.01,0.44
44000-P159974,Enhancement and Strengthening of Power Transmission Network in Eastern Region The proposed project aims to increase the transmission capacity and reliability of the electricity network in the eastern region and strengthen the institutional capacity of the Power Grid Company of Bangladesh Limited (PGCB).,0.22,0.18,0.04
44000-P170688,"Bangladesh Private Investment & Digital Entrepreneurship Project To promote private investment, job creation, and environmental sustainability in participating economic zones and software technology parks in Bangladesh.",0.46,0.25,0.22
44000-P178077,Economic Acceleration and Resilience for NEET (EARN),0.17,0.05,0.12
44000-P175139,Sudan Reengagement and Reform Development Policy Financing To facilitate Sudan's re-engagement with the World Bank Group and support the country's economic reform agenda through policies that support: (i) correcting macroeconomic imbalances- exchange rate liberalization and phasing out fuel subsidies; (ii) strengthening social protection and financial inclusion - implementing the Sudan Family Support Program (SFSP); and  (iii) improving transparency and accountability of the public sector – standards for publication of the budget and budget execution reports.,0.28,0.25,0.03
44000-P133829,Kosovo Water Security and Canal Protection Project The objective of the Project is to contribute to restoring the Iber Canal to its original capacity to improve water resource management for various canal water users in Central Kosovo.,0.52,0.0,0.52
44000-P171098,Kosovo Social Assistance System Reform Project The objective of the project is to improve the equity and adaptability of Kosovo's social safety net.,0.03,0.0,0.03
44000-P179944,"Kosovo Fiscal Effectiveness, Competitiveness and Green Growth DPF",0.0,0.0,0.0
44000-P169150,"Fostering and Leveraging Opportunities for Water Security Program (Project 1) The proposed project development objective is to: (i) strengthen national capacity for managing water security, and (ii) improve water security in Morava e Binces basin.",0.96,0.17,0.79
44000-P164188,"Kosovo Digital Economy (KODE) The Project Development Objective (PDO) for the Kosovo Digital Economy (KODE) Project is to improve access to better quality and high-speed broadband services in project areas and to online knowledge sources, services and labor markets among citizens, and public and academic institutions.",0.0,0.0,0.0
44000-P102174,"Institutional Development for Education Project The long-term overall goal of the proposed project is to support the government in the implementation of the Strategy for the Development of Pre-University Education in Kosovo and the Strategy for the Development of Higher Education.  The specific objective of the proposed project is to strengthen systems, institutions and management capacities needed for education quality improvements.",0.0,0.0,0.0
44000-P152881,"KOSOVO: COMPETITIVENESS AND EXPORT READINESS PROJECT To support product certification for export markets, strengthen the capacity of export-oriented firms and reduce the cost of business inspections.",0.0,0.0,0.0
44000-P096181,Energy Sector Cleanup and Land Reclamation Project CLRP's objectives are to: (a) address environmental legacy issues related to open dumping of ashes on land from KEK's Kosovo A thermal power plant; (b) enable KEK to free land for community development purposes currently taken by overburden material and to enableKEK to remediate the Kosovo A Ash Dump; and (c) support KEK and MESP to implement continued clean-up operations and environmental good practices in the mining and energy sector.,0.0,0.0,0.0
44000-P108080,Kosovo Financial Sector Strengthening & Market Infrastructure Project The objectives of the Project are to (i) enhance the stability and development of the financial sector; and (ii) strengthen thefinancial sectors underlying market infrastructure.,0.0,0.0,0.0
44000-P147402,"Kosovo Health Project To contribute to (i) developing the building blocks to introduce Social Health Insurance, (ii) strengthening Primary Health Care in selected regions and (iii) prevent, detect and respond to the threat posed by COVID-19.",0.0,0.0,0.0
44000-P112526,"Agriculture and Rural Development The development objective of the project is to improve productivity of and access to markets by project beneficiaries in the horticulture and livestock subsectors of Kosovo and strengthen the institutional capacity of the Ministry of Agriculture, Forestry and Rural Development.",0.0,0.0,0.0
44000-P165147,"Kosovo Financial Sector Strengthening Project The objective of the Project is to improve access to finance for Micro, Small and Medium Size Enterprises by strengthening the financial and technical capacity of the Kosovo Credit Guarantee Fund.",0.02,0.02,0.0
44000-P178162,Strengthening Digital Governance for Service Delivery To improve the quality of and user access to selected public administrative services.,0.05,0.0,0.05
44000-P101214,Real Estate Cadastre and Registration The project development objective is to help develop Kosovo's land and property markets and enhance security of tenure.,0.0,0.0,0.0
44000-P179656,Early Childhood Education and Care for Kosovo's Human Capital Project The project's development objective is to improve equitable access to and quality of early childhood development services in Kosovo.,0.0,0.0,0.0
44000-P101614,"Public Sector Modernization Project (a) To strengthen the performance of key budget organizations in budget formulation, budget execution, and public procurement; 
 (b) To establish the foundations for fiscally sustainable payroll management and effective human resource management in the core civil service; and 
 (c) To create conditions for further automation of government work processes and for development of e-government applications.",0.0,0.0,0.0
44000-P164555,Real Estate & Geospatial Infrastructure Project The Project Development Objective is to increase the quality and availability of land administration and geospatial data and services.,0.13,0.0,0.13
44000-P156019,"Sri Lanka Agriculture Sector Modernization Project The Project Development Objectives (PDO) are to support increasing agriculture productivity, improving market access, and enhancingvalue addition of smallholder farmers and agribusinesses in the project areas.",0.0,0.0,0.0
44000-P176164,"Inclusive Connectivity and Development Project The Project Development Objective is to provide safe, efficient and climate resilient connectivity and strengthen agricultural supply chains to empower project communities in selected districts of Sri Lanka.",0.84,0.01,0.83
44000-P163305,"Local Development Support Project To strengthen local government authorities' capabilities to deliver services to communities in a responsive and accountable manner, to support economic infrastructure development in participating provinces, and to provide immediate and effective response to an eligible crisis or health emergency.",0.32,0.01,0.31
44000-P179808,"Sri Lanka Resilience, Stability and Economic Turnaround Development Policy Operation To support foundational reforms that restore macroeconomic stability and sustainability, mitigate the impact of current and future shocks on the poor and vulnerable, and support an inclusive and private-sector-led recovery and growth path.",0.09,0.07,0.01
44000-P172342,"Kandy Multimodal Transport Terminal Development Project The Project Development Objective (PDO) is to enhance accessibility, efficiency, and safety for public transport users of the KandyMultimodal Transport Terminal.",0.99,0.87,0.12
44000-P151916,Early Childhood Development Project The project development objective is to enhance equitable access to and improve the quality of ECD services.,0.0,0.0,0.0
44000-P163714,General Education Modernization Project Enhance quality and strengthen stewardship of the general education system,0.03,0.0,0.03
44000-P132833,Transport Connectivity and Asset Management Project The Project Development Objective (PDO) is to strengthen the capacity of the Road Development Authority (RDA) for asset management and to improve access and asset management framework for Provincial roads.,0.0,0.0,0.0
44000-P121328,Small and Medium Enterprise Development Facility The Project Development Objective is to improve access to finance (including term finance) for SMEs affected by the Global Financial Crisis in Sri Lanka.,0.0,0.0,0.0
44000-P180861,Financial Sector Safety Net Strengthening Project,0.0,0.0,0.0
44000-P113488,"Sri Lanka - Transforming the School Education System as the Foundation of a Knowledge Hub The project development objective is to enhance access to, and quality of, primary and secondary education to provide a foundation for the knowledge-based economic and social development of the country.",0.0,0.0,0.0
44000-P146314,Climate Resilience Improvement Project (CRIP) The Project Development Objective (PDO) is to reduce the vulnerability of exposed people and assets to climate risk  and to improveGovernment's capacity to respond effectively to disasters.,0.0,0.0,0.0
44000-P163742,Climate Smart Irrigated Agriculture Project The Project Development Objective is to improve the productivity and climate resilience of smallholder agriculture in selected hotspot areas.,0.88,0.13,0.76
44000-P160005,Climate Resilience Multi-Phase Programmatic Approach The Project Development Objective of the first phase is to enhance the capacity of the Government to deliver improved weather and climate forecasting and early warning; and to reduce flood risks in the lower Kelani basin (between Hanwella and Kaduwela).,1.0,0.0,1.0
44000-P086411,SL- Road Sector Assistance Project The objective of the project is to lower transportation costs through sustainable delivery of an efficient national road systemthatserves the needs of road users and the Sri Lankan public at large.,0.0,0.0,0.0
44000-P107847,"Provincial Roads The project aims to improve access to socio-economic centers in Eastern, Northern and Uva Provinces, through the sustainable management of improved road infrastructure",0.0,0.0,0.0
44000-P113709,Sustainable Tourism Development Project The PDO remains relevant and no changes are proposed.,0.0,0.0,0.0
44000-P113402,"Sri Lanka - Higher Education for the Twenty First Century Project The project development objective is to enhance the capacity of the higher education system, institutions and human resources to deliver quality higher education services in line with economic and social development needs.",0.0,0.0,0.0
44000-P132698,Skills Development Project The Project Development Objective is to expand the supply of skilled and employable workers by increasing access to quality and labor market relevant training programs.,0.0,0.0,0.0
44000-P087145,"Second Community Development and Livelihood Improvement Project To enhance quality of life of poor households of the most poor divisions in the country and increase incomes and well being of the poor and most vulnerable,.",0.0,0.0,0.0
44000-P178973,Social Protection Project To support Sri Lanka in providing better targeted income and livelihood opportunities to the poor and vulnerable and improving the responsiveness of the social protection system.,0.1,0.0,0.1
44000-P157804,"Sri Lanka Competitiveness DPL Project Development Objective (Note: will be disclosed in the MOS) The project will support the attainment of reforms required in order to enhance competitiveness, governance and macroeconomic stability in the country Board Schedule Comments",0.0,0.0,0.0
44000-P163864,Framework Development and Infrastructure Financing to Support Public-Private Partnerships Project The Project Development Objective is to support the preparation of Public-Private Partnerships that will enable the Government of Sri Lanka to facilitate private sector financing for the development of its priority infrastructure and services.,0.16,0.04,0.11
44000-P166865,Sri Lanka Integrated Watershed and Water Resources Management Project The Project Development Objective (PDO) is to improve watershed and water resources planning and enhance functionality of water resources infrastructure.,0.95,0.04,0.91
44000-P118806,Sri Lanka - Second Health Sector Development Project The project development objective (PDO) is to upgrade the standards of performance of the public health system and enable it to better respond to the challenges of malnutrition and non-communicable diseases.,0.0,0.0,0.0
44000-P081771,"E-Lanka Development The project developmet obective is to enhance growth and equity through:(i) improved access and use of means of information and communication;(ii) access to and use of public  services on-line by businesses and citizens; and (iii) enhanced competitiveness of the private sector and in particular of knowledge industry and SMEs. The objective will be achieved by: (i) establishing an effective, citizen-centered and business-friendly government; (ii) empowering the rural poor, disadvantaged groups, women, and youth through increased and affordable access to information and communication tools; (iii) developing leadership and skills in ICT; and (iv) creating employment in the ICT industry and ICT.enabled services, and enhancing the competitiveness of user industries and services. Project component programs are 1.ICT Policy, Leadership and Institutional Development Program 2.ICT Human Resources Development and Industry Promotion Program 3.Regional Telecommunication Network Development Program 4.Telecenter Development Program 5.Reengineering Government Program 6.E-Society Program",0.0,0.0,0.0
44000-P097329,"Public Sector Capacity Building To enhance the effectiveness, efficiency and productivity of the Recipient's AGD",0.0,0.0,0.0
44000-P159303,"Sri Lanka Financial Sector Modernization Project The Project Development Objective (PDO) is “to contribute to increasing financial market efficiency and use of financial services among micro, small and medium enterprises (MSMEs) and individuals”.

The project will achieve the PDO through modernizing financial market infrastructure, upgrading the legal and regulatory framework for the financial system, and strengthening the institutional capacity of financial sector regulators (Central Bank of Sri Lanka, [CBSL]; Securities and Exchange Commission of Sri Lanka, [SEC]; and Insurance Board of Sri Lanka, [IBSL]).
On account of its comprehensive approach to creating an enabling environment for robust financial development, the project is also expected to advance financial inclusion through (a) increased financial efficiency and compettion and (b) the greater reach and financial connectivity of MSMEs and individuals that the new and more inclusive financial market infrastructure shall enable.",0.0,0.0,0.0
44000-P118870,Sri Lanka: Emergency Northern Recovery Project The Project Development Objective (PDO) is to support Government of Sri Lanka#s efforts to rapidly resettle the IDPs in the Northern Province by creating an enabling environment#.  It will be achieved through: (A) Emergency Assistance to IDPs; (B) a Work-fare Program; (C) Rehabilitation and Reconstruction of Essential Public and Economic Infrastructure; and (D) Project Management Support.,0.0,0.0,0.0
44000-P156021,Ecosystem Conservation and Management The project development objective (PDO) is to improve the management of ecosystems in selected locations in Sri Lanka for conservation and community benefits.,0.14,0.07,0.07
44000-P147827,"LK Water Supply and Sanitation Improvement Project The development objectives of the project are to increase access to piped water services and improved sanitation in selected Districts; and to strengthen the capacity of associated institutions, and in case of an Eligible Crisis or Emergency, respond promptly andeffectively to it.",0.0,0.0,0.0
44000-P181564,Sri Lanka: Primary Healthcare System Enhancing Project (PHSEP) To improve quality and increase utilization of primary health care services across all districts of Sri Lanka.,0.0,0.0,0.0
44000-P113036,North East Local Services Improvement Project (NELSIP) The primary development objective of the project is to improve the delivery of local infrastructure services by local authorities in the Northern and Eastern Provinces of Sri Lanka in an accountable and responsive manner.,0.0,0.0,0.0
44000-P086747,"LK Commun Livelihoods - Yali Pibedemu ViyapruthiyaMaru Eluchchithittum Project development objective is to help conflict-affected communities in the North East Province and the adjoining areas to restore livelihoods, enhance agricultural and other production and incomes, and build their capacity for sustainable social and economic reintegration.  The PDO will be achieved by: (i)Creating, restoring, or improving essential village level social and economic infrastructure and facilities; (ii) improving productivity, sustainability and competitiveness of agriculture; (iii) building community skills and capacity and decentralizing powers for decision making, control of resources and implementation of programs at community level; and (iv) implementing targeted livelihood support programs for the most vulnerable people.   Project Components are:  Component 1: Village rehabilitation and development Component 2: Essential rehabilitation and improvements to selected major irrigation schemes Component 3: Farmer Organization capacity building, empowerment and agricultural support services strengthening Component 4: Capacity building, project implementation support and project oversight",0.0,0.0,0.0
44000-P156056,"Social Safety Nets Project The development objective of the project is to contribute to the improved equity, efficiency and transparency of Sri Lanka's socialsafety net programs for the benefit of the poor and vulnerable.",0.0,0.0,0.0
44000-P093132,LK Dam Safety and Water Resources Planning (DSWRPP) (i) Establish long-term sustainable arrangements for operation and maintenance of large dams; and (ii) improve water resources planning.,0.0,0.0,0.0
44000-P130548,Sri Lanka Strategic Cities Development Project Improve selected urban services and public urban spaces in the Participating City Regions of Sri Lanka.,0.0,0.0,0.0
44000-P123480,LA-Poverty Reduction Fund II Help improve the access to and the utilization of basic infrastructure and services for the Project's targeted poor communities. The PDO would be achieved through inclusive community and local development processes with emphasis on ensuring sustainability.,0.0,0.0,0.0
44000-P178957,Lao Health and Nutrition Services Access Project II,0.0,0.0,0.0
44000-P169194,Lao PDR Financial Sector Safety Net Strengthening To strengthen the financial and institutional capacity of the Deposit Protection Office to fulfill its deposit insurance mandate.,0.0,0.0,0.0
44000-P159956,Green Resilient Growth DPF To support the Government of Lao PDR in achieving fiscal stability and consolidating its pathway towards green growth.,0.37,0.26,0.11
44000-P178002,"Lao PDR Strengthening the National Statistical System The PDO is to improve the capacity of the Lao PDR Statistical System to produce and disseminate good quality statistics in a timelymanner and to enhance use of key statistics, and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",0.01,0.0,0.01
44000-P178477,"Power Distribution Improvement Project To strengthen the capacity and efficiency of the distribution system in the Project Areas and improve EDL's financial management capacity; and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",0.72,0.59,0.13
44000-P169669,"Enhancing Systematic Land Registration Project The objective of the project is to support the Government of Lao PDR in improving tenure security and land administration services in selected areas, and to provide immediate and effective response in case of an eligible crisis or emergency.",0.09,0.0,0.09
44000-P158504,"Lao Road Sector Project 2  (LRSP2) The Project Development Objective (PDO) is to improve climate resilience and strengthen maintenance systems for a reliable road network in Lao PDR, and to provide immediate and effective response in case of an Eligible Crisis or Emergency.",0.77,0.0,0.77
44000-P109736,TA for Capacity Development in Hydropower and Mining Sector Development objective is to increase human capacity and improve the performance of Government oversight institutions for the hydropower and mining sectors.,0.04,0.04,0.0
44000-P105331,"GMS Power Trade (Laos) Project To enhance power trade within the Sub-Regional with a view to bringing reliable electricity to selected provinces in Lao PDR, and creating the conditions for eventual interconnections of Lao PDR with other countries of the region.",0.14,0.14,0.0
44000-P049290,"Nam Theun 2 Social and Environment Project To generate revenues, through environmentally and socially sustainable development of NT2's hydropower potential, which will be used to finance priority poverty reduction and environmental management programs.",0.0,0.0,0.0
